window,variant,method,regime,sharpe,ann_return,ann_vol,max_drawdown,n_days
252,DYNO-D3,dynotears,nber_expansion,0.7753,0.1002,0.135,-0.2124,4095
252,DYNO-D3,dynotears,low_vol,6.1441,0.4652,0.0625,-0.0251,905
252,DYNO-D3,dynotears,high_vol,-1.4074,-0.4011,0.3259,-0.8399,903
252,DYNO-D4,dynotears,all,0.3931,0.0524,0.1643,-0.5125,4515
252,DYNO-D4,dynotears,nber_recession,-0.6192,-0.2569,0.3689,-0.5132,420
252,DYNO-D4,dynotears,nber_expansion,0.7536,0.0906,0.1256,-0.1918,4095
252,DYNO-D4,dynotears,low_vol,5.6987,0.4118,0.0609,-0.025,905
252,DYNO-D4,dynotears,high_vol,-1.3416,-0.3625,0.3014,-0.803,903
252,VARL-D0s,varlingam,all,0.3957,0.0531,0.1653,-0.5068,4515
252,VARL-D0s,varlingam,nber_recession,-0.6004,-0.2542,0.3723,-0.5124,420
252,VARL-D0s,varlingam,nber_expansion,0.7545,0.091,0.126,-0.2012,4095
252,VARL-D0s,varlingam,low_vol,5.7217,0.4128,0.0608,-0.0263,905
252,VARL-D0s,varlingam,high_vol,-1.3386,-0.3639,0.3032,-0.8043,903
252,VARL-D1,varlingam,all,0.3852,0.052,0.1685,-0.5112,4515
252,VARL-D1,varlingam,nber_recession,-0.6265,-0.2663,0.3789,-0.5259,420
252,VARL-D1,varlingam,nber_expansion,0.7457,0.0915,0.1286,-0.2025,4095
252,VARL-D1,varlingam,low_vol,5.8568,0.4268,0.061,-0.0269,905
252,VARL-D1,varlingam,high_vol,-1.3662,-0.3754,0.3091,-0.8166,903
252,VARL-D2,varlingam,all,0.3878,0.0517,0.1654,-0.5083,4515
252,VARL-D2,varlingam,nber_recession,-0.5971,-0.2529,0.3719,-0.5098,420
252,VARL-D2,varlingam,nber_expansion,0.7405,0.0892,0.1263,-0.2003,4095
252,VARL-D2,varlingam,low_vol,5.6944,0.4109,0.0608,-0.0258,905
252,VARL-D2,varlingam,high_vol,-1.3486,-0.3659,0.3033,-0.8057,903
252,VARL-D2s,varlingam,all,0.3859,0.052,0.168,-0.5068,4515
252,VARL-D2s,varlingam,nber_recession,-0.5985,-0.2566,0.3764,-0.5161,420
252,VARL-D2s,varlingam,nber_expansion,0.7349,0.0901,0.1287,-0.2073,4095
252,VARL-D2s,varlingam,low_vol,5.8893,0.4299,0.0611,-0.0267,905
252,VARL-D2s,varlingam,high_vol,-1.3741,-0.3754,0.3077,-0.8148,903
252,VARL-D3,varlingam,all,0.3918,0.0552,0.1774,-0.5575,4515
252,VARL-D3,varlingam,nber_recession,-0.6445,-0.2888,0.4023,-0.5522,420
252,VARL-D3,varlingam,nber_expansion,0.7683,0.0987,0.1344,-0.2205,4095
252,VARL-D3,varlingam,low_vol,6.2976,0.468,0.0613,-0.0239,905
252,VARL-D3,varlingam,high_vol,-1.3922,-0.3994,0.3272,-0.8384,903
252,VARL-D4,varlingam,all,0.4019,0.0537,0.1634,-0.5003,4515
252,VARL-D4,varlingam,nber_recession,-0.576,-0.2459,0.3704,-0.504,420
252,VARL-D4,varlingam,nber_expansion,0.7616,0.0904,0.1238,-0.1922,4095
252,VARL-D4,varlingam,low_vol,5.69,0.4057,0.0602,-0.0259,905
252,VARL-D4,varlingam,high_vol,-1.3105,-0.3557,0.3006,-0.7936,903
504,V0,—,all,0.3704,0.0494,0.1686,-0.5233,4515
504,V0,—,nber_recession,-0.6321,-0.2684,0.3797,-0.5272,420
504,V0,—,nber_expansion,0.7275,0.0889,0.1285,-0.203,4095
504,V0,—,low_vol,5.67,0.4239,0.0627,-0.0273,905
504,V0,—,high_vol,-1.3763,-0.3772,0.3089,-0.8176,903
