method,allocator,window,sharpe,cagr,max_drawdown,mean_turnover,nav_net
dynotears,D0,252,0.4027786729909503,0.054337302300006884,-0.5052477675476432,0.11248424095395852,2.582800658784437
dynotears,D0,504,0.372107113915125,0.04966694333039978,-0.5256795062361352,0.10060843811975227,2.385147749464873
dynotears,D0s,252,0.3982103390688145,0.0532735638006383,-0.5064351752221858,0.12545665268557285,2.5364675346675876
dynotears,D0s,504,0.38268001803174534,0.0512937302611558,-0.5249515448301421,0.1110525601533549,2.452314382967817
dynotears,D1,252,0.41138144056438264,0.056248134007055084,-0.4990529330836163,0.10230225591823701,2.6680442483950118
dynotears,D1,504,0.39511725411180754,0.05404799406043059,-0.5179787771437464,0.08084982704023871,2.570120796170589
dynotears,D2,252,0.3986647088616583,0.05340006816270404,-0.49983526415789126,0.13688321197427647,2.5419362633739158
dynotears,D2,504,0.3815933505479079,0.05114924113807451,-0.5273256854700614,0.12425118401808512,2.446277218314926
dynotears,D2s,252,0.4060863384068325,0.055194794461393304,-0.5062239773923491,0.13997830128108918,2.620730901452907
dynotears,D2s,504,0.39915161448811726,0.05452970142111346,-0.5224418317163887,0.11977286021872348,2.5912658463990037
dynotears,D3,252,0.39745087844097204,0.05612649865323238,-0.5582404950550273,0.06605805964671231,2.6625397899760626
dynotears,D3,504,0.3865486353153265,0.054343757661258874,-0.5608281179320115,0.049537449828105824,2.58308425828111
dynotears,D4,252,0.39305700359390994,0.052307711075259666,-0.512544761429992,0.12495095190231291,2.495078843763805
dynotears,D4,504,0.38695210627212573,0.051878099352976825,-0.5295925839854424,0.11181637402621988,2.4768747842978445
granger,D0,252,0.38852197045354114,0.05179702890736926,-0.510731794245044,0.11520960807153761,2.4734536595648255
granger,D1,252,0.3515409979890284,0.04548216964843821,-0.5056227853212347,0.3338917654889891,2.2202590049924
granger,D2,252,0.39289176460758446,0.05259155283390937,-0.5069032857294775,0.10857445664811781,2.5071753781315134
granger,D3,252,0.3499230519823927,0.04728862667620937,-0.5458015713410462,0.19961317147521923,2.2900711201539554
varlingam,D0,252,0.3968771020050215,0.0533072880021519,-0.5094405763048726,0.1167090490816766,2.5379243302273116
varlingam,D0,504,0.37746251026196936,0.05063588159474208,-0.525157856162112,0.10380128756741475,2.4249409133303277
varlingam,D0s,252,0.39572461391043884,0.05300614906055068,-0.5068379838534053,0.12055028161519966,2.5249438527387333
varlingam,D0s,504,0.38997556849049225,0.05266376136387607,-0.520285032975637,0.11120267129258585,2.5102615255811638
varlingam,D1,252,0.3851570331008598,0.051902665621139876,-0.511193460210512,0.1291176734599747,2.477912348019727
varlingam,D1,504,0.38328082252092927,0.05216823793416414,-0.5251620614401893,0.0903043658102872,2.4891551048966627
varlingam,D2,252,0.38777431620402064,0.05165015545142082,-0.5082797060228615,0.11575846998764709,2.4672670479039054
varlingam,D2,504,0.37193378190615617,0.04958668946670142,-0.523268457976096,0.10510993937207799,2.38187961671333
varlingam,D2s,252,0.38587509888937094,0.05192684016919169,-0.506755326187741,0.1257817345943945,2.47893376795003
varlingam,D2s,504,0.37532411648215963,0.05073422545867068,-0.5247289774794852,0.09461396179604908,2.4290146362497187
varlingam,D3,252,0.39178483419666765,0.0551106096539824,-0.5574795885170318,0.05830774480937917,2.616983922427954
varlingam,D3,504,0.37533039767731363,0.05255313840564102,-0.5705603859265955,0.034665846503332515,2.505535029736449
varlingam,D4,252,0.4019452050392618,0.05361546185655586,-0.5002538208809347,0.12415308211417335,2.551273263844652
varlingam,D4,504,0.3698003933263827,0.048875387320583386,-0.5262021907187204,0.10385821909715912,2.3530979023772933
phase_i,CORR-HRP,252,0.3805034176966515,0.04970107203379026,-0.5073314659595093,0.09984991833638653,2.386538836126362
phase_i,CORR-HRP,504,0.3633399877008369,0.04748813543438635,-0.52975387365114,0.08390573708678885,2.297907152586831
phase_i,V0,252,0.370921164357341,0.048741010340591195,-0.5165206394989338,0.121824041851252,2.347697563076472
phase_i,V0,504,0.37042818343766976,0.049310323799222955,-0.5232530986202404,0.11242970051596049,2.3706576555078205
phase_i,V0prime,252,0.4027786729909503,0.054337302300006884,-0.5052477675476432,0.11248424095395852,2.582800658784437
phase_i,V0prime,504,0.372107113915125,0.04966694333039978,-0.5256795062361352,0.10060843811975227,2.385147749464873
phase_i,V1-DYNOTEARS,252,0.381088941288998,0.05060366287893392,-0.511640910840326,0.12096708073432809,2.4236077127912274
phase_i,V1-DYNOTEARS,504,0.37146134930457,0.04944950659424241,-0.5292538013768209,0.11286914635971086,2.3763029852278628
phase_i,V1-VARLiNGAM,252,0.3985707172124468,0.05343981618879701,-0.5131367548141865,0.12939187023465903,2.5436568506389987
phase_i,V1-VARLiNGAM,504,0.35674308427563883,0.04679239417416947,-0.5298765291213092,0.11948508153649336,2.270690060150505
