end_date,n_assets,n_edges,density,is_dag,dag_depth,n_roots,n_leaves,rebalance,method,window
2012-06-04,99,644,0.06637806637806638,True,58,4,8,2012-06-04,dynotears,189
2012-07-03,99,568,0.0585446299732014,True,50,3,8,2012-07-03,dynotears,189
2012-08-02,99,590,0.060812203669346525,True,43,4,11,2012-08-02,dynotears,189
2012-08-31,99,657,0.06771799628942486,True,52,4,5,2012-08-31,dynotears,189
2012-10-02,99,553,0.056998556998557,True,37,4,10,2012-10-02,dynotears,189
2012-11-02,99,519,0.053494124922696354,True,45,5,6,2012-11-02,dynotears,189
2012-12-04,99,558,0.0575139146567718,True,37,5,6,2012-12-04,dynotears,189
2013-01-04,99,559,0.05761698618841476,True,48,4,6,2013-01-04,dynotears,189
2013-02-05,99,584,0.06019377447948877,True,47,2,5,2013-02-05,dynotears,189
2013-03-07,99,639,0.06586270871985157,True,55,3,4,2013-03-07,dynotears,189
2013-04-08,99,634,0.06534735106163678,True,50,2,7,2013-04-08,dynotears,189
2013-05-07,99,599,0.06173984745413317,True,53,3,8,2013-05-07,dynotears,189
2013-06-06,99,617,0.06359513502370645,True,59,2,7,2013-06-06,dynotears,189
2013-07-08,99,626,0.0645227788084931,True,60,3,6,2013-07-08,dynotears,189
2013-08-06,99,644,0.06637806637806638,True,45,3,1,2013-08-06,dynotears,189
2013-09-05,99,634,0.06534735106163678,True,61,1,5,2013-09-05,dynotears,189
2013-10-04,99,696,0.07173778602350031,True,54,3,4,2013-10-04,dynotears,189
2013-11-04,99,647,0.06668728097299526,True,55,3,2,2013-11-04,dynotears,189
2013-12-04,99,648,0.06679035250463822,True,53,2,3,2013-12-04,dynotears,189
2014-01-06,99,628,0.06472892187177902,True,58,2,4,2014-01-06,dynotears,189
2014-02-05,99,631,0.06503813646670789,True,50,2,4,2014-02-05,dynotears,189
2014-03-07,99,661,0.0681302824159967,True,54,1,6,2014-03-07,dynotears,189
2014-04-07,99,670,0.06905792620078334,True,50,1,3,2014-04-07,dynotears,189
2014-05-07,99,608,0.0626674912389198,True,44,1,6,2014-05-07,dynotears,189
2014-06-06,99,578,0.059575345289631,True,48,3,6,2014-06-06,dynotears,189
2014-07-08,99,650,0.06699649556792414,True,55,1,4,2014-07-08,dynotears,189
2014-08-06,99,608,0.0626674912389198,True,58,1,6,2014-08-06,dynotears,189
2014-09-05,99,623,0.06421356421356421,True,52,1,6,2014-09-05,dynotears,189
2014-10-06,99,564,0.05813234384662956,True,48,2,5,2014-10-06,dynotears,189
2014-11-04,99,631,0.06503813646670789,True,45,2,3,2014-11-04,dynotears,189
2014-12-04,99,540,0.055658627087198514,True,36,3,1,2014-12-04,dynotears,189
2015-01-06,99,575,0.05926613069470212,True,57,1,7,2015-01-06,dynotears,189
2015-02-05,99,557,0.05741084312512884,True,45,2,3,2015-02-05,dynotears,189
2015-03-09,99,603,0.06215213358070501,True,57,2,6,2015-03-09,dynotears,189
2015-04-08,99,502,0.05174190888476603,True,55,1,4,2015-04-08,dynotears,189
2015-05-07,99,574,0.05916305916305916,True,50,1,7,2015-05-07,dynotears,189
2015-06-08,99,599,0.06173984745413317,True,46,1,5,2015-06-08,dynotears,189
2015-07-08,99,585,0.06029684601113173,True,47,1,4,2015-07-08,dynotears,189
2015-08-06,99,565,0.05823541537827252,True,58,2,5,2015-08-06,dynotears,189
2015-09-04,99,569,0.058647701504844364,True,42,1,9,2015-09-04,dynotears,189
2015-10-06,99,611,0.06297670583384869,True,53,2,8,2015-10-06,dynotears,189
2015-11-04,99,563,0.0580292723149866,True,45,3,7,2015-11-04,dynotears,189
2015-12-04,99,572,0.05895691609977324,True,44,2,8,2015-12-04,dynotears,189
2016-01-06,99,547,0.056380127808699235,True,54,3,6,2016-01-06,dynotears,189
2016-02-05,99,564,0.05813234384662956,True,48,3,5,2016-02-05,dynotears,189
2016-03-08,99,536,0.05524634096062667,True,48,2,7,2016-03-08,dynotears,189
2016-04-07,99,586,0.060399917542774684,True,49,2,5,2016-04-07,dynotears,189
2016-05-06,99,541,0.055761698618841476,True,41,2,5,2016-05-06,dynotears,189
2016-06-07,99,566,0.05833848690991548,True,55,3,8,2016-06-07,dynotears,189
2016-07-07,99,599,0.06173984745413317,True,62,2,7,2016-07-07,dynotears,189
2016-08-05,99,625,0.06441970727685013,True,61,2,5,2016-08-05,dynotears,189
2016-09-06,99,648,0.06679035250463822,True,46,3,11,2016-09-06,dynotears,189
2016-10-05,99,663,0.06833642547928262,True,52,2,8,2016-10-05,dynotears,189
2016-11-03,99,651,0.0670995670995671,True,51,2,8,2016-11-03,dynotears,189
2016-12-05,99,614,0.06328592042877758,True,55,2,6,2016-12-05,dynotears,189
2017-01-05,99,574,0.05916305916305916,True,50,2,9,2017-01-05,dynotears,189
2017-02-06,99,633,0.06524427952999381,True,48,2,4,2017-02-06,dynotears,189
2017-03-08,99,702,0.07235621521335807,True,49,2,6,2017-03-08,dynotears,189
2017-04-06,99,607,0.06256441970727684,True,41,4,5,2017-04-06,dynotears,189
2017-05-08,99,668,0.06885178313749743,True,58,3,4,2017-05-08,dynotears,189
2017-06-07,99,664,0.06843949701092558,True,49,2,5,2017-06-07,dynotears,189
2017-07-07,99,655,0.06751185322613894,True,51,3,4,2017-07-07,dynotears,189
2017-08-07,99,659,0.06792413935271079,True,49,2,7,2017-08-07,dynotears,189
2017-09-06,99,657,0.06771799628942486,True,59,2,3,2017-09-06,dynotears,189
2017-10-05,99,684,0.07050092764378478,True,55,2,2,2017-10-05,dynotears,189
2017-11-03,99,691,0.07122242836528551,True,55,2,4,2017-11-03,dynotears,189
2017-12-05,99,673,0.06936714079571223,True,38,4,6,2017-12-05,dynotears,189
2018-01-05,99,700,0.07215007215007214,True,44,3,7,2018-01-05,dynotears,189
2018-02-06,99,696,0.07173778602350031,True,50,3,6,2018-02-06,dynotears,189
2018-03-08,99,623,0.06421356421356421,True,44,3,8,2018-03-08,dynotears,189
2018-04-09,99,638,0.06575963718820861,True,48,3,8,2018-04-09,dynotears,189
2018-05-08,99,598,0.06163677592249021,True,43,3,8,2018-05-08,dynotears,189
2018-06-07,99,643,0.06627499484642342,True,52,2,9,2018-06-07,dynotears,189
2018-07-09,99,649,0.06689342403628118,True,50,2,6,2018-07-09,dynotears,189
2018-08-07,99,605,0.06235827664399093,True,49,2,5,2018-08-07,dynotears,189
2018-09-06,99,614,0.06328592042877758,True,46,2,7,2018-09-06,dynotears,189
2018-10-05,99,589,0.06070913213770356,True,51,3,5,2018-10-05,dynotears,189
2018-11-05,99,563,0.0580292723149866,True,57,3,2,2018-11-05,dynotears,189
2018-12-06,99,625,0.06441970727685013,True,47,2,4,2018-12-06,dynotears,189
2019-01-08,99,688,0.07091321377035663,True,56,1,3,2019-01-08,dynotears,189
2019-02-07,99,576,0.059369202226345084,True,54,2,6,2019-02-07,dynotears,189
2019-03-11,99,663,0.06833642547928262,True,63,1,4,2019-03-11,dynotears,189
2019-04-09,99,633,0.06524427952999381,True,55,1,4,2019-04-09,dynotears,189
2019-05-09,99,626,0.0645227788084931,True,56,1,5,2019-05-09,dynotears,189
2019-06-10,99,578,0.059575345289631,True,52,2,4,2019-06-10,dynotears,189
2019-07-10,99,567,0.05844155844155844,True,43,3,3,2019-07-10,dynotears,189
2019-08-08,99,568,0.0585446299732014,True,56,1,6,2019-08-08,dynotears,189
2019-09-09,99,630,0.06493506493506493,True,48,1,5,2019-09-09,dynotears,189
2019-10-08,99,676,0.0696763553906411,True,46,2,3,2019-10-08,dynotears,189
2019-11-06,99,611,0.06297670583384869,True,58,1,1,2019-11-06,dynotears,189
2019-12-06,99,633,0.06524427952999381,True,50,2,3,2019-12-06,dynotears,189
2020-01-08,99,688,0.07091321377035663,True,49,2,3,2020-01-08,dynotears,189
2020-02-07,99,668,0.06885178313749743,True,45,2,4,2020-02-07,dynotears,189
2020-03-10,99,659,0.06792413935271079,True,51,1,6,2020-03-10,dynotears,189
2020-04-08,99,566,0.05833848690991548,True,46,1,6,2020-04-08,dynotears,189
2020-05-08,99,610,0.06287363430220573,True,52,1,5,2020-05-08,dynotears,189
2020-06-09,99,565,0.05823541537827252,True,54,3,7,2020-06-09,dynotears,189
2020-07-09,99,571,0.05885384456813028,True,42,2,6,2020-07-09,dynotears,189
2020-08-07,99,593,0.061121418264275404,True,50,1,6,2020-08-07,dynotears,189
