sharpe,cagr,max_drawdown,nav_net,seed
0.3810467364113793,0.0505957461080353,-0.511640910840326,2.4236077127912274,0
0.39205646829390584,0.052427116265109985,-0.5098511112930214,2.500510625984316,1
0.3959944961173109,0.05313968500112942,-0.5124745132301065,2.531050875629176,2
0.3867797763213277,0.051460001327298555,-0.5081636986705411,2.459616957709708,3
0.3936263991376865,0.052632889687707296,-0.5069145563897433,2.5092940232040433,4
0.3906574072494931,0.052213044514394014,-0.5144891883664704,2.491403831484813,5
0.39011166014374277,0.052080021984557634,-0.5057441126703316,2.485760726006619,6
0.3866268028733349,0.05143778303507984,-0.5053487932599445,2.4586849380705558,7
0.3925935430790867,0.05250038590318873,-0.5051462189234321,2.5036347922887923,8
0.3891636574329441,0.05198362710697202,-0.5108601507866507,2.481678989502658,9
0.38933560662471056,0.05198941510325317,-0.5102623399256847,2.4819238972227486,10
0.38481796162106013,0.051197257828642595,-0.5101988235030326,2.4486166365362725,11
0.38995188406290604,0.05201377230466542,-0.50811278401162,2.4829547745844955,12
0.3886591431389436,0.05187792674064995,-0.5106239512069197,2.477210497114572,13
0.3823300001256247,0.05073320406484205,-0.5159013759173599,2.429301420599569,14
0.37474042255507484,0.04947034744040213,-0.519641395678445,2.37746367016443,15
0.3854594493614123,0.05137885986657498,-0.506302561707944,2.4562148258164176,16
0.3852590509633953,0.051264839298855946,-0.5125851468326081,2.4514416338018097,17
0.39391647638572774,0.05279195278467275,-0.5084387008603977,2.516103554604975,18
0.386826091354853,0.05152283914163136,-0.5108777260776907,2.4622547036316282,19
