config,sharpe_ann,psr_vs_zero,psr_vs_baseline,dsr,n_trials,in_mcs90
V2_w252_a0.4_g0.3,0.3811,0.9456,0.5171,0.9256,122,
V2_w252_a0.4_g0.5,0.3811,0.9456,0.5171,0.9256,122,
CORR-HRP_w252,0.3805,0.9454,0.5161,0.9254,122,True
VARL-D0_w504,0.3775,0.9438,0.511,0.9234,122,
V1_w252_k10,0.376,0.9432,0.5085,0.9226,122,
VARL-D3_w504,0.3753,0.9427,0.5074,0.9219,122,
VARL-D2s_w504,0.3753,0.9428,0.5074,0.922,122,
V0prime_w504,0.3721,0.9412,0.502,0.9201,122,
DYNO-D0_w504,0.3721,0.9412,0.502,0.9201,122,
VARL-D2_w504,0.3719,0.9412,0.5017,0.92,122,
V2-DYNOTEARS_w504,0.3715,0.941,0.5009,0.9198,122,
V1-DYNOTEARS_w504,0.3715,0.941,0.5009,0.9198,122,
V1_w504_k14,0.3715,0.941,0.5009,0.9198,122,
V1_w504_k17,0.3715,0.941,0.5009,0.9198,122,
V1_w504_k20,0.3715,0.941,0.5009,0.9198,122,
V1_w504_k25,0.3715,0.941,0.5009,0.9198,122,
V0_w504_k14,0.3714,0.9409,0.5008,0.9197,122,
V0_w252,0.3709,0.9407,0.5,0.9194,122,False
V0_w252_k17,0.3709,0.9407,0.5,0.9194,122,
V0_w504,0.3704,0.9404,0.4992,0.919,122,
V0_w504_k17,0.3704,0.9404,0.4992,0.919,122,
V0_w504_k10,0.3704,0.9404,0.4992,0.9191,122,
VARL-D4_w504,0.3698,0.94,0.4981,0.9186,122,
V1_w504_k10,0.3696,0.94,0.4977,0.9186,122,
V0_w504_k20,0.3646,0.9375,0.4894,0.9153,122,
VARL-D1_w189,0.3638,0.937,0.488,0.9147,122,
CORR-HRP_w504,0.3633,0.9368,0.4873,0.9145,122,
V2-VARLiNGAM_w504,0.3567,0.9333,0.4762,0.9101,122,
V1-VARLiNGAM_w504,0.3567,0.9333,0.4762,0.9101,122,
DYNO-D0lw_w504,0.3527,0.9311,0.4695,0.9073,122,
GRAN-D1_w252,0.3515,0.9304,0.4675,0.9065,122,True
GRAN-D3_w252,0.3499,0.9294,0.4648,0.9053,122,
